_000001   82  114     0.000     0.000    30.000
_000002   82  114     0.000     5.000    30.000
_000003   82  114     0.000    10.000    30.000
_000004   82  114     0.000    15.000    30.000
_000005   82  114     0.000    20.000    30.000
_000006   82  114     0.000    25.000    30.000
_000007   82  114     0.000    30.000    30.000
_000008   82  114     0.000    35.000    30.000
_000009   82  114     0.000    40.000    30.000
_000010   82  114     0.000    45.000    30.000
_000011   82  114     0.000    50.000    30.000
